"output_yield","year","reginal_zone","province_code"
423,2552,16,620
380,2552,21,630
311,2552,21,640
434,2552,21,650
335,2552,23,660
352,2552,23,670
354,2552,23,680
352,2552,23,690
373,2552,22,700
446,2552,22,710
448,2552,22,720
389,2552,22,730
363,2552,24,740
368,2552,24,750
371,2552,24,760
538,2553,12,10
540,2553,12,20
529,2553,12,30
509,2553,13,40
545,2553,13,50
502,2553,13,60
445,2553,9,70
508,2553,9,80
481,2553,9,90
591,2553,11,100
523,2553,11,110
584,2553,11,120
517,2553,10,130
512,2553,10,140
454,2553,8,150
438,2553,8,160
545,2553,8,170
393,2553,1,180
318,2553,1,190
313,2553,1,200
312,2553,1,210
327,2553,2,220
293,2553,2,230
307,2553,2,240
334,2553,3,250
317,2553,3,260
289,2553,3,270
385,2553,5,280
374,2553,5,290
368,2553,5,300
343,2553,4,310
336,2553,4,320
352,2553,4,330
310,2553,4,340
252,2553,6,350
255,2553,6,360
529,2553,7,370
450,2553,7,380
639,2553,14,390
582,2553,14,400
637,2553,14,410
609,2553,14,420
564,2553,15,430
756,2553,15,440
744,2553,15,450
635,2553,15,460
484,2553,18,470
392,2553,18,480
535,2553,18,490
335,2553,20,500
350,2553,20,510
400,2553,20,520
394,2553,19,530
414,2553,19,540
701,2553,19,550
620,2553,17,560
674,2553,17,570
579,2553,16,580
636,2553,16,590
594,2553,17,600
540,2553,16,610
458,2553,16,620
339,2553,21,630
302,2553,21,640
291,2553,21,650
310,2553,23,660
477,2553,23,670
328,2553,23,680
379,2553,23,690
344,2553,22,700
365,2553,22,710
390,2553,22,720
409,2553,22,730
350,2553,24,740
346,2553,24,750
362,2553,24,760
532,2554,12,10
537,2554,12,20
556,2554,12,30
517,2554,13,40
555,2554,13,50
412,2554,13,60
393,2554,9,70
502,2554,9,80
482,2554,9,90
658,2554,11,100
492,2554,11,110
614,2554,11,120
398,2554,10,130
443,2554,10,140
351,2554,8,150
527,2554,8,160
481,2554,8,170
401,2554,1,180
366,2554,1,190
349,2554,1,200
291,2554,1,210
273,2554,1,211
325,2554,2,220
283,2554,2,230
335,2554,2,240
344,2554,3,250
321,2554,3,260
322,2554,3,270
374,2554,5,280
351,2554,5,290
357,2554,5,300
341,2554,4,310
304,2554,4,320
334,2554,4,330
310,2554,4,340
276,2554,6,350
363,2554,6,360
459,2554,7,370
346,2554,7,380
505,2554,14,390
553,2554,14,400
668,2554,14,410
548,2554,14,420
411,2554,15,430
517,2554,15,440
498,2554,15,450
556,2554,15,460
474,2554,18,470
402,2554,18,480
559,2554,18,490
350,2554,20,500
335,2554,20,510
403,2554,20,520
404,2554,19,530
434,2554,19,540
733,2554,19,550
640,2554,17,560
549,2554,17,570
586,2554,16,580
665,2554,16,590
725,2554,17,600
684,2554,16,610
477,2554,16,620
393,2554,21,630
301,2554,21,640
371,2554,21,650
310,2554,23,660
434,2554,23,670
327,2554,23,680
396,2554,23,690
371,2554,22,700
404,2554,22,710
454,2554,22,720
391,2554,22,730
418,2554,24,740
356,2554,24,750
392,2554,24,760
606,2555,12,10
516,2555,12,20
562,2555,12,30
573,2555,13,40
633,2555,13,50
428,2555,13,60
442,2555,9,70
601,2555,9,80
570,2555,9,90
643,2555,11,100
503,2555,11,110
627,2555,11,120
610,2555,10,130
610,2555,10,140
558,2555,8,150
619,2555,8,160
551,2555,8,170
414,2555,1,180
270,2555,1,190
307,2555,1,200
353,2555,1,210
249,2555,1,211
299,2555,2,220
349,2555,2,230
262,2555,2,240
297,2555,3,250
269,2555,3,260
327,2555,3,270
353,2555,5,280
340,2555,5,290
323,2555,5,300
302,2555,4,310
275,2555,4,320
301,2555,4,330
278,2555,4,340
330,2555,6,350
276,2555,6,360
626,2555,7,370
546,2555,7,380
692,2555,14,390
659,2555,14,400
694,2555,14,410
668,2555,14,420
643,2555,15,430
717,2555,15,440
674,2555,15,450
741,2555,15,460
563,2555,18,470
367,2555,18,480
620,2555,18,490
275,2555,20,500
368,2555,20,510
398,2555,20,520
417,2555,19,530
456,2555,19,540
799,2555,19,550
679,2555,17,560
748,2555,17,570
604,2555,16,580
669,2555,16,590
639,2555,17,600
699,2555,16,610
547,2555,16,620
364,2555,21,630
332,2555,21,640
366,2555,21,650
321,2555,23,660
493,2555,23,670
346,2555,23,680
383,2555,23,690
450,2555,22,700
410,2555,22,710
562,2555,22,720
386,2555,22,730
369,2555,24,740
230,2555,24,750
349,2555,24,760
608,2556,12,10
562,2556,12,20
539,2556,12,30
553,2556,13,40
675,2556,13,50
392,2556,13,60
445,2556,9,70
607,2556,9,80
572,2556,9,90
614,2556,11,100
557,2556,11,110
630,2556,11,120
607,2556,10,130
614,2556,10,140
581,2556,8,150
624,2556,8,160
556,2556,8,170
400,2556,1,180
312,2556,1,190
349,2556,1,200
337,2556,1,210
280,2556,1,211
